link_key,speed_max,tt_avg,speed_sd,median_age,speed_ref_avg,inrix_id,road_closures,tt_sd,speed_hist_sd,incidents,tt_var,speed_hist_avg,speed_cv,bus_stops,tt_cv,median_inc,speed_avg,intersections,speed_ref_sd,date,hour
"(255, 991, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,2020-10-06,16
"(470, 991, '0')",21.127,0.150,1.924,46.800,26.098,429471473.000,0.000,0.016,0.359,0,0.000,24.544,0.078,0,0.078,15.738,19.418,1,0.000,2020-10-06,16
"(256, 992, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,2020-10-06,16
"(1000, 992, '0')",26.719,1.310,2.892,33.100,27.340,1626650341.000,0.000,0.154,0.932,0,0.024,20.661,0.140,1,0.140,42.623,22.680,2,0.000,2020-10-06,16
"(470, 982, '0')",27.340,0.550,3.672,25.600,26.098,1626761608.000,0.000,0.083,0.879,0,0.007,21.127,0.174,0,0.174,42.628,21.903,1,0.000,2020-10-06,16
"(964, 982, '0')",22.991,0.578,2.453,25.600,26.719,1626650416.000,0.000,0.064,0.359,0,0.004,21.437,0.114,1,0.114,42.628,20.039,0,0.000,2020-10-06,16
"(470, 471, '0')",0.000,0.000,0.000,25.600,0.000,,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,42.628,0.000,2,0.000,2020-10-06,16
"(475, 977, '0')",26.719,0.457,0.932,45.100,31.069,449891879.000,0.000,0.015,0.311,0,0.000,19.418,0.048,0,0.048,48.646,26.253,0,0.000,2020-10-06,16
"(476, 974, '0')",27.340,1.397,3.672,25.600,26.098,1626719671.000,0.000,0.205,0.879,0,0.042,21.127,0.174,0,0.174,42.628,21.903,1,0.000,2020-10-06,16
"(975, 974, '0')",22.991,1.483,2.453,45.100,26.719,1626679013.000,0.000,0.172,0.359,0,0.029,21.437,0.114,0,0.114,48.646,20.039,0,0.000,2020-10-06,16
"(977, 974, '0')",26.719,0.585,0.932,45.100,31.069,449891868.000,0.000,0.024,0.311,0,0.001,19.418,0.048,0,0.048,48.646,26.253,1,0.000,2020-10-06,16
"(476, 983, '0')",26.719,0.585,0.932,25.600,31.069,449891868.000,0.000,0.024,0.311,0,0.001,19.418,0.048,0,0.048,42.628,26.253,1,0.000,2020-10-06,16
"(976, 983, '0')",26.719,0.585,0.932,25.600,31.069,449891868.000,0.000,0.024,0.311,0,0.001,19.418,0.048,0,0.048,42.628,26.253,0,0.000,2020-10-06,16
"(476, 978, '0')",22.991,0.578,2.453,25.600,26.719,1626650416.000,0.000,0.064,0.359,0,0.004,21.437,0.114,0,0.114,42.628,20.039,1,0.000,2020-10-06,16
"(964, 978, '0')",27.340,0.550,3.672,25.600,26.098,1626761608.000,0.000,0.083,0.879,0,0.007,21.127,0.174,0,0.174,42.628,21.903,0,0.000,2020-10-06,16
"(981, 978, '0')",0.000,0.000,0.000,25.600,0.000,,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,42.628,0.000,0,0.000,2020-10-06,16
"(476, 957, '0')",28.583,0.712,4.375,46.800,29.204,449891867.000,0.000,0.115,2.654,0,0.013,20.039,0.218,0,0.218,15.738,22.214,1,0.000,2020-10-06,16
"(978, 957, '0')",27.340,0.550,3.672,46.800,26.098,1626761608.000,0.000,0.083,0.879,0,0.007,21.127,0.174,0,0.174,15.738,21.903,0,0.000,2020-10-06,16
"(481, 1406, '0')",26.719,0.163,2.400,36.500,26.098,441671219.000,0.000,0.015,0.621,2,0.000,20.816,0.115,1,0.115,42.500,24.389,0,0.000,2020-10-06,16
"(1408, 1406, '0')",32.311,0.125,2.400,36.500,26.719,441671226.000,0.000,0.006,0.621,0,0.000,25.787,0.093,0,0.093,42.500,29.049,0,0.000,2020-10-06,16
"(481, 1413, '0')",32.311,0.183,2.400,24.500,26.719,441671206.000,0.000,0.013,0.621,0,0.000,25.787,0.093,0,0.093,17.434,29.049,0,0.000,2020-10-06,16
"(1410, 1413, '0')",28.583,0.073,1.061,24.500,24.855,441671201.000,0.000,0.005,1.281,0,0.000,23.146,0.046,1,0.046,17.434,27.185,0,0.000,2020-10-06,16
"(481, 1024, '0')",36.040,0.255,2.980,24.500,27.962,441671221.000,0.000,0.026,0.782,0,0.001,25.010,0.119,1,0.119,17.434,32.001,0,0.000,2020-10-06,16
"(1023, 1024, '0')",29.204,0.258,1.785,24.500,26.719,441671232.000,0.000,0.022,0.621,0,0.000,22.680,0.079,1,0.079,17.434,26.874,0,0.000,2020-10-06,16
"(484, 253, '0')",68.351,0.228,0.595,36.500,65.865,1626766986.000,0.000,0.005,0.000,0,0.000,65.865,0.009,0,0.009,42.500,67.885,0,0.000,2020-10-06,16
"(489, 253, '0')",43.496,0.288,1.644,36.500,32.933,1626666463.000,0.000,0.015,1.190,3,0.000,32.622,0.050,0,0.050,42.500,41.321,0,0.000,2020-10-06,16
"(489, 488, '0')",52.817,0.090,2.325,36.500,52.817,429471476.000,0.000,0.012,0.359,0,0.000,49.399,0.047,0,0.047,42.500,50.331,0,0.000,2020-10-06,16
"(257, 929, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,2020-10-06,16
"(928, 929, '0')",22.369,1.353,0.359,36.700,26.098,1626619658.000,0.000,0.032,0.782,8,0.001,21.903,0.016,1,0.016,66.344,22.059,2,0.000,2020-10-06,16
"(495, 1354, '0')",31.690,0.210,3.478,33.600,27.962,441679036.000,0.000,0.027,0.311,1,0.001,24.389,0.143,1,0.143,41.694,26.719,4,0.000,2020-10-06,16
"(1351, 1354, '0')",27.340,0.355,2.703,33.600,24.855,441679041.000,0.000,0.041,1.683,0,0.002,23.612,0.114,1,0.114,41.694,25.010,3,0.000,2020-10-06,16
"(495, 1368, '0')",26.098,0.320,1.479,33.600,27.962,441679034.000,0.000,0.014,0.359,1,0.000,24.544,0.060,1,0.060,41.694,23.923,2,0.000,2020-10-06,16
"(1371, 1368, '0')",31.690,0.283,3.478,29.600,27.962,441679035.000,0.000,0.039,0.311,0,0.001,24.389,0.143,0,0.143,45.663,26.719,3,0.000,2020-10-06,16
"(495, 224, '0')",19.884,0.792,1.176,33.600,22.991,449891981.000,0.000,0.059,1.015,1,0.003,18.020,0.065,1,0.065,41.694,19.107,2,0.000,2020-10-06,16
"(941, 224, '0')",31.690,0.482,3.127,30.700,31.069,449891984.000,0.000,0.053,1.644,0,0.003,28.272,0.111,4,0.111,41.563,27.340,4,0.000,2020-10-06,16
"(504, 503, '0')",50.952,0.162,5.183,33.600,36.040,1626763468.000,0.000,0.015,12.799,0,0.000,25.321,0.205,0,0.205,41.694,46.137,0,0.000,2020-10-06,16
"(508, 1325, '0')",24.855,1.232,0.621,36.700,31.069,449891905.000,0.000,0.039,0.621,0,0.001,23.301,0.027,2,0.027,66.344,23.923,1,0.000,2020-10-06,16
"(509, 1325, '0')",31.690,0.975,1.378,36.700,31.690,449891912.000,0.000,0.042,0.782,1,0.002,24.078,0.057,1,0.057,66.344,30.292,1,0.000,2020-10-06,16
"(509, 1326, '0')",27.962,1.130,1.281,33.100,29.826,449891910.000,0.000,0.063,0.782,1,0.004,21.903,0.058,0,0.058,45.536,26.253,1,0.000,2020-10-06,16
"(509, 1620, '0')",24.855,0.438,1.932,33.100,31.069,1626704127.000,0.000,0.035,0.000,1,0.001,22.991,0.084,1,0.084,45.536,22.680,1,0.000,2020-10-06,16
"(509, 888, '0')",22.369,0.695,1.061,26.700,26.098,449891914.000,0.000,0.026,0.621,1,0.001,20.195,0.053,1,0.053,30.907,20.971,1,0.000,2020-10-06,16
"(611, 888, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,2020-10-06,16
"(528, 527, '0')",67.729,0.255,0.802,26.700,65.865,1626686650.000,0.000,0.010,0.621,11,0.000,64.312,0.012,0,0.012,30.907,66.797,0,0.000,2020-10-06,16
"(528, 155, '0')",67.729,0.255,0.802,26.700,65.865,1626686650.000,0.000,0.010,0.621,1,0.000,64.312,0.012,0,0.012,30.907,66.797,0,0.000,2020-10-06,16
"(539, 41, '0')",41.010,0.355,5.840,29.000,31.690,1626691238.000,0.000,0.055,2.175,0,0.003,31.845,0.183,0,0.183,36.974,35.107,1,0.000,2020-10-06,16
"(539, 222, '0')",26.098,0.260,2.685,29.000,24.855,1626617701.000,0.000,0.027,0.879,0,0.001,19.263,0.139,0,0.139,36.974,22.369,1,0.000,2020-10-06,16
"(546, 545, '0')",29.204,0.460,2.433,26.700,19.884,1626747729.000,0.000,0.045,1.711,0,0.002,16.000,0.152,0,0.152,30.907,26.719,0,0.000,2020-10-06,16
