link_key,speed_ref_sd,tt_cv,tt_avg,road_closures,tt_sd,median_age,speed_avg,speed_hist_sd,median_inc,bus_stops,inrix_id,intersections,speed_cv,speed_hist_avg,speed_max,speed_ref_avg,tt_var,speed_sd,incidents,date,hour
"(144, 237, '0')",0.000,0.092,0.198,0.000,0.024,34.400,64.312,0.717,66.653,0,1626615940.000,2,0.092,64.623,68.972,65.244,0.001,5.949,2,2020-10-06,16
"(62, 144, '0')",0.000,0.114,0.307,0.000,0.039,34.400,19.729,0.000,66.653,0,1626615706.000,0,0.114,24.855,22.991,29.204,0.001,2.842,0,2020-10-06,16
"(48, 144, '0')",0.000,0.036,0.260,0.000,0.012,34.400,67.885,0.000,66.653,0,1626615688.000,0,0.036,67.108,70.215,67.108,0.000,2.400,0,2020-10-06,16
"(57, 55, '0')",0.000,0.051,0.208,0.000,0.015,31.100,16.311,1.711,93.828,0,429471470.000,2,0.051,20.971,17.398,26.719,0.000,1.061,0,2020-10-06,16
"(56, 55, '0')",0.000,0.139,0.250,0.000,0.036,31.100,16.932,0.717,93.828,0,1626751626.000,2,0.139,20.505,21.127,24.855,0.001,2.842,0,2020-10-06,16
"(93, 55, '0')",0.000,0.075,0.315,0.000,0.024,31.100,31.535,0.359,93.828,0,1626615921.000,1,0.075,31.379,34.797,32.933,0.001,2.346,0,2020-10-06,16
"(580, 142, '0')",0.000,0.012,0.540,0.000,0.012,34.400,68.040,0.782,66.653,0,170326096.000,0,0.012,66.953,68.972,67.729,0.000,0.802,0,2020-10-06,16
"(12, 77, '0')",0.000,0.016,0.732,0.000,0.013,24.900,69.438,0.621,14.243,0,1626749030.000,1,0.016,66.797,70.836,67.729,0.000,1.061,6,2020-10-06,16
"(143, 579, '0')",0.000,0.000,0.000,0.000,0.000,34.400,0.000,0.000,66.653,0,,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(1217, 10, '0')",0.000,0.092,1.225,0.000,0.107,28.700,19.263,0.879,39.191,0,1626721540.000,1,0.092,19.884,21.748,27.962,0.011,1.829,0,2020-10-06,16
"(561, 10, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(1217, 1196, '0')",0.000,0.092,1.225,0.000,0.107,28.700,19.263,0.879,39.191,0,1626721540.000,1,0.092,19.884,21.748,27.962,0.011,1.829,0,2020-10-06,16
"(14, 414, '0')",0.000,0.021,0.422,0.000,0.005,25.900,66.487,0.621,27.250,0,1626686499.000,4,0.021,63.691,68.351,65.244,0.000,1.342,0,2020-10-06,16
"(577, 580, '0')",0.000,0.000,0.000,0.000,0.000,31.779,0.000,0.000,37.414,0,,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(15, 14, '0')",0.000,0.021,0.422,0.000,0.005,25.900,66.487,0.621,27.250,0,1626686499.000,0,0.021,63.691,68.351,65.244,0.000,1.342,6,2020-10-06,16
"(579, 647, '0')",0.000,0.000,0.000,0.000,0.000,31.779,0.000,0.000,37.414,0,,1,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(16, 221, '0')",0.000,0.091,0.550,0.000,0.036,40.400,27.651,0.000,64.773,1,449892027.000,1,0.091,21.127,30.447,29.826,0.001,1.932,1,2020-10-06,16
"(873, 221, '0')",0.000,0.114,0.135,0.000,0.017,40.400,25.010,1.683,64.773,0,441679086.000,2,0.114,23.612,27.340,24.855,0.000,2.703,1,2020-10-06,16
"(904, 221, '0')",0.000,0.158,0.307,0.000,0.043,40.400,22.214,0.311,64.773,1,441679085.000,1,0.158,21.593,26.719,26.098,0.002,3.418,1,2020-10-06,16
"(1308, 221, '0')",0.000,0.120,0.647,0.000,0.079,40.400,23.457,0.000,64.773,0,449892015.000,1,0.120,22.991,26.098,25.476,0.006,2.750,1,2020-10-06,16
"(16, 895, '0')",0.000,0.120,0.647,0.000,0.079,40.400,23.457,0.000,64.773,2,449892015.000,2,0.120,22.991,26.098,25.476,0.006,2.750,0,2020-10-06,16
